,Recipe Number,Rating,Number of Ratings
15411,15411,4.64705896377563,34
15412,15412,4.14705896377563,102
15413,15413,4.12380933761597,105
15414,15414,4.375,16
15416,15416,4.40259742736816,77
15417,15417,4.66265058517456,83
15418,15418,4.68421030044556,19
15420,15420,0,0
15421,15421,0,0
15422,15422,4.19999980926514,15
15424,15424,4.49180316925049,427
15425,15425,4.40860223770142,93
15427,15427,4.62132358551025,816
15428,15428,4.21052646636963,38
15429,15429,3.72972965240479,37
15430,15430,4.6304349899292,46
15432,15432,4.56953620910645,453
15433,15433,4.08333349227905,12
15435,15435,4.125,8
15436,15436,4.36784744262695,367
15438,15438,4.1538462638855,13
15440,15440,4.61538457870483,13
15441,15441,4.43537425994873,147
15442,15442,4.42635679244995,129
15443,15443,4.5,76
15445,15445,4.0961537361145,52
15446,15446,4.0357141494751,28
15448,15448,4.62056064605713,535
15450,15450,4.59999990463257,35
15452,15452,4.52941179275513,17
15454,15454,4.5054349899292,184
15455,15455,0,0
15457,15457,3.55555558204651,9
15458,15458,0,0
15460,15460,4.55405426025391,74
15462,15462,4.53061246871948,245
15463,15463,3.5,16
15465,15465,3.86956524848938,23
15466,15466,4.15503883361816,258
15468,15468,2.33333325386047,6
15469,15469,4.68624401092529,647
15470,15470,3.96153855323792,26
15471,15471,3.66666674613953,6
15473,15473,4.27272748947144,22
15474,15474,4.24444437026978,90
15475,15475,4.60919523239136,348
15477,15477,4.34375,32
15478,15478,0,0
15480,15480,4.63636350631714,11
15481,15481,0,0
15482,15482,4.67144727706909,767
15483,15483,4.55670118331909,97
15485,15485,4.53333330154419,45
15486,15486,4.33958339691162,480
15488,15488,0,0
15489,15489,4.56948661804199,662
15491,15491,4.84722232818604,72
15493,15493,4.37301588058472,126
15494,15494,4.22807025909424,57
15496,15496,0,0
15497,15497,3.22222232818604,9
15499,15499,3.77272725105286,22
15500,15500,4.25773191452026,97
15502,15502,4.29166650772095,120
15504,15504,4.55078125,256
15506,15506,4.692307472229,39
15507,15507,4.5,8
15509,15509,4.49061679840088,373
15510,15510,4.46666669845581,45
15512,15512,4.19999980926514,35
15513,15513,3.5,16
15514,15514,3.51724147796631,145
15515,15515,4.26415109634399,53
15517,15517,2.86666655540466,15
15518,15518,2.75,20
15520,15520,3.875,8
15521,15521,4.41666650772095,12
15523,15523,4.40265464782715,452
15524,15524,3.33333325386047,9
15525,15525,4.11627912521362,43
15526,15526,3.875,8
15528,15528,4.44444465637207,99
15529,15529,3.65853667259216,41
15530,15530,4.41818189620972,55
15532,15532,4.67676782608032,99
15533,15533,3.46153855323792,13
15534,15534,3.65000009536743,20
15535,15535,4.20779228210449,77
15537,15537,4.75138139724731,181
15538,15538,3.63636374473572,22
15540,15540,3.9375,32
15541,15541,0,0
15543,15543,0,0
15544,15544,4.69999980926514,30
15545,15545,4.55102062225342,49
15547,15547,4.23999977111816,50
15549,15549,4.50241565704346,207
15550,15550,4.4375,16
15552,15552,0,0
15553,15553,4.63881397247314,371
15555,15555,4.22222232818604,27
15557,15557,4.30000019073486,20
15558,15558,3.5,10
15560,15560,4.53846168518066,91
15561,15561,4.375,8
15563,15563,0,0
15564,15564,4.58571434020996,210
15566,15566,4.15999984741211,25
15568,15568,4.44186067581177,43
15569,15569,0,0
15571,15571,4.07317066192627,82
15572,15572,4.36448621749878,107
15574,15574,4.65079355239868,63
15575,15575,3.90909099578857,11
15577,15577,4.69565200805664,69
15579,15579,4.25773191452026,97
15580,15580,0,0
15582,15582,3.82954549789429,88
15583,15583,0,0
15585,15585,4.55652189254761,345
15586,15586,3.72727274894714,11
15588,15588,4.38709688186646,62
15589,15589,0,0
15590,15590,4.33333349227905,9
15591,15591,4.47552442550659,143
15593,15593,3.73333334922791,15
15595,15595,4.55434799194336,92
15596,15596,0,0
15598,15598,4.12986993789673,77
15599,15599,3.71794867515564,39
15600,15600,2.83333325386047,18
15601,15601,4.47972965240479,148
15603,15603,4.53483152389526,445
15604,15604,4.23100280761719,329
15606,15606,4.39215707778931,51
15607,15607,4.23076915740967,52
15609,15609,4.21052646636963,19
15611,15611,4.27368402481079,95
15612,15612,0,0
15614,15614,3.8461537361145,13
15615,15615,0,0
15617,15617,3.66666674613953,21
15618,15618,4.4392523765564,107
15619,15619,3.73684215545654,19
15620,15620,4.74418592453003,86
15622,15622,4.13636350631714,44
15623,15623,0,0
15625,15625,4.03999996185303,25
15626,15626,4.56666660308838,60
15628,15628,4.33333349227905,18
15630,15630,4.53846168518066,26
15631,15631,4.2142858505249,28
15633,15633,4.79603624343872,2422
15635,15635,4.61224508285522,147
15636,15636,4.13855409622192,166
15638,15638,4.40000009536743,15
15639,15639,4,11
15640,15640,4.12765979766846,47
15641,15641,4.5490198135376,306
15643,15643,4.41763353347778,431
15644,15644,4.38867902755737,265
15646,15646,4.16535425186157,254
15647,15647,3.42857146263123,7
15649,15649,0,0
15650,15650,3.98400974273682,813
15651,15651,4,7
15652,15652,4.37234020233154,94
15654,15654,4.57183885574341,348
15655,15655,4.37777757644653,45
15657,15657,0,0
15658,15658,3.63636374473572,11
15660,15660,4.33333349227905,27
15662,15662,4.32499980926514,40
15663,15663,0,0
15665,15665,4.06896543502808,29
15666,15666,4.50980377197266,51
15668,15668,4.09999990463257,20
15669,15669,4.64601755142212,113
15671,15671,3.9375,16
15673,15673,0,0
15674,15674,4.26666688919067,30
15676,15676,4.61437892913818,153
15677,15677,4.53731346130371,67
15679,15679,4.30263137817383,1292
15681,15681,4.49019622802734,51
15682,15682,3.14285707473755,7
15685,15685,4,23
15686,15686,4.04347848892212,23
15688,15688,4.33333349227905,30
15689,15689,0,0
15690,15690,4.24242401123047,33
15692,15692,4.61538457870483,13
15694,15694,3.125,8
15695,15695,4.23076915740967,13
15696,15696,3.90322589874268,31
15698,15698,3.29999995231628,50
15699,15699,4.58762884140015,97
15701,15701,3.83333325386047,42
15702,15702,4.52742624282837,237
15704,15704,3.94029855728149,67
15706,15706,4.42857122421265,14
15708,15708,4.19999980926514,45
15709,15709,4.04651165008545,43
15711,15711,0,0
15712,15712,0,0
15714,15714,4.50354623794556,141
15715,15715,4.6066427230835,2499
15717,15717,3.53125,32
15719,15719,4.42553186416626,47
15720,15720,4.65507650375366,719
15722,15722,4.56818199157715,176
15724,15724,4.33333349227905,12
15725,15725,4.58986186981201,217
15726,15726,0,0
15728,15728,0,0
15730,15730,4.73214292526245,112
15732,15732,4.65853643417358,123
15733,15733,4.54347848892212,138
15735,15735,4.73498249053955,566
15737,15737,0,0
15738,15738,4.84210538864136,114
15740,15740,3.96296286582947,27
15741,15741,4.66091966629028,174
15742,15742,4.6538462638855,26
15743,15743,4,11
15744,15744,4.10256433486938,39
15746,15746,4.68245124816895,359
15747,15747,4.73446321487427,1947
15749,15749,4.54545450210571,11
15750,15750,4.58282232284546,163
15751,15751,0,0
15752,15752,4.125,8
15754,15754,3.91071438789368,56
15755,15755,4.47169828414917,53
15757,15757,0,0
15758,15758,3.5,8
15759,15759,4.1538462638855,13
15761,15761,0,0
15763,15763,4.40540552139282,37
15764,15764,0,0
15766,15766,0,0
15767,15767,4.65217399597168,92
15769,15769,0,0
15770,15770,4.13333320617676,30
15772,15772,3.82142853736877,28
15774,15774,4.09999990463257,10
15775,15775,3.92307686805725,13
15777,15777,4.45454549789429,11
15779,15779,4.32653045654297,49
15781,15781,4.18181800842285,77
15783,15783,0,0
15784,15784,4.58513212203979,417
15785,15785,0,0
15786,15786,4.5151515007019,33
15788,15788,0,0
15789,15789,4.61363649368286,264
15791,15791,0,0
15792,15792,0,0
15794,15794,4.1538462638855,13
15795,15795,4.61904764175415,21
15796,15796,4.09999990463257,10
15797,15797,4.68085098266602,47
15799,15799,4.50588226318359,85
15800,15800,4.6590256690979,349
15802,15802,4.5,170
15803,15803,0,0
15804,15804,0,0
15805,15805,4.69811344146729,53
15806,15806,3.94805192947388,77
15807,15807,4.45018434524536,271
15809,15809,0,0
15810,15810,4.77345132827759,565
15812,15812,0,0
15813,15813,4.03999996185303,25
15815,15815,3.85714292526245,14
15817,15817,4.46666669845581,180
15818,15818,4.15000009536743,20
15820,15820,4.71684217453003,950
15821,15821,4.60309934616089,2323
15823,15823,4.60991382598877,464
15824,15824,4.24324321746826,37
15826,15826,4.57142877578735,14
15827,15827,0,0
15828,15828,4.14285707473755,42
15829,15829,3.90000009536743,10
15831,15831,3.76923084259033,13
15832,15832,4.192307472229,26
15834,15834,4.35714292526245,56
15835,15835,4.48648643493652,37
15837,15837,4.31034469604492,29
15839,15839,4.40740728378296,135
15840,15840,4.71216869354248,2227
15842,15842,0,0
15843,15843,4.26666688919067,15
15845,15845,3.90909099578857,11
15846,15846,0,0
15848,15848,3.4347825050354,23
15850,15850,4.28947353363037,38
15851,15851,0,0
15853,15853,3.82524275779724,103
15855,15855,0,0
15857,15857,4.08465623855591,189
15858,15858,4.5,28
15860,15860,4.7619047164917,21
15861,15861,4.0625,32
15862,15862,4.52173900604248,92
15863,15863,4.77777767181396,9
15865,15865,4.59999990463257,30
15866,15866,4.21276617050171,141
15868,15868,4.32584285736084,89
15869,15869,4.63045024871826,1399
15871,15871,4.14285707473755,14
15873,15873,4.13636350631714,22
15874,15874,3.94736838340759,19
15876,15876,0,0
15877,15877,3.91666674613953,24
15879,15879,4.52272748947144,44
15880,15880,4.79319381713867,3438
15882,15882,0,0
15883,15883,0,0
15884,15884,0,0
15885,15885,0,0
15887,15887,0,0
15888,15888,0,0
15890,15890,0,0
15891,15891,0,0
15893,15893,0,0
15895,15895,0,0
15896,15896,0,0
15898,15898,0,0
15900,15900,0,0
15902,15902,0,0
15903,15903,0,0
15904,15904,0,0
15906,15906,0,0
15907,15907,0,0
15909,15909,0,0
15910,15910,0,0
15912,15912,0,0
15913,15913,0,0
15914,15914,0,0
15915,15915,0,0
15917,15917,0,0
15918,15918,0,0
15920,15920,0,0
15921,15921,0,0
15923,15923,0,0
15924,15924,0,0
